upc,name,price,size,brand,description,category_name,category_id,scraped_timestamp
81204900618,Jumbo Blueberries,5.99,9 OZ PKG,USDA Produce,,Produce,2098,2025-06-10T11:09:56.620209
4799,Greenhouse Tomatoes,1.9,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.621113
4608,Garlic,0.69,1 HEAD,USDA Produce,,Produce,2098,2025-06-10T11:09:56.622003
94011,Organic Bananas apx 4-7 ct,2.18,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:09:56.622901
68826714507,Giant Fresh Trimmed & Washed Green Beans,3.49,12 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:09:56.623818
505037211600,Whole Golden Pineapple,2.49,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.624768
4889,Cilantro Fresh,1.49,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:09:56.625666
4030,Kiwi,0.79,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.626586
4805,Tomatoes On The Vine - 4 ct,3.38,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:09:56.627475
3121,Orange Bell Peppers,1.59,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.628351
68826701096,Giant Salad Basics Baby Spinach,2.99,6 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:09:56.629209
68826703351,Celery,1.99,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:09:56.630079
750301578010,Blueberries,6.99,18 OZ PKG,USDA Produce,,Produce,2098,2025-06-10T11:09:56.630917
750301807429,Organic Strawberries,3.99,16 OZ PKG,USDA Produce,,Produce,2098,2025-06-10T11:09:56.631878
68826704269,Giant Rainbow Bell Peppers,2.99,3 CT PKG,Our Brand,,Produce,2098,2025-06-10T11:09:56.632802
4689,Yellow Bell Peppers,1.59,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.633653
68826756208,Giant Washed & Ready To Eat Broccoli Florets,2.99,12 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:09:56.634510
4050,Cantaloupe,3,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.635548
68826713315,Giant Whole Carrots,1.99,2 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:56.636458
4022,Seedless Green Grapes,8.97,APX 2.25 LB,USDA Produce,,Produce,2098,2025-06-10T11:09:56.637333
68826705797,Giant Grape Tomatoes,2.99,1 DRY PINT,Our Brand,,Produce,2098,2025-06-10T11:09:56.638203
4403,Eastern Peaches,0.86,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.639068
68826708353,Giant Yellow Onions,2.99,3 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:56.639904
7143001065,Dole Shredded Iceburg Lettuce,2.69,8 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:56.640745
4017,Granny Smith Apples,1.7,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:56.641593
4023,Seedless Red Grapes,8.97,APX 2.25 LB,USDA Produce,,Produce,2098,2025-06-10T11:09:56.642441
94131,Nature's Promise Organic Fuji Apples,1.34,1 EA,Nature's Promise,,Produce,2098,2025-06-10T11:09:56.643654
