upc,name,price,size,brand,description,category_name,category_id,scraped_timestamp
85000000240,Red Radishes,1.99,16 OZ BAG,USDA Produce,,Produce,2098,2025-06-19T16:30:32.444738
68826759337,Giant Pink Lady Apples,7.99,5 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:32.445739
68826709813,Giant Triple Washed Curly Leaf Spinach,1.99,8 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:32.445739
7146401729,Bolthouse Farms Premium Carrot Sticks,2.99,12 OZ BAG,Bolthouse Farms,,Produce,2098,2025-06-19T16:30:32.446740
68826759503,Giant Tomatoes - 4 ct,2.99,14 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:32.447741
20478630000,Giant Small Pineapple Chunks,3.5,APX 1/2 LB,Our Brand,,Produce,2098,2025-06-19T16:30:32.448742
4801,Tomatillos,0.25,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:32.448742
68826714393,Giant Sliced Baby Bella Mushrooms,4.49,16 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:32.449743
4076,Green Leaf Lettuce,2.49,1 HEAD,USDA Produce,,Produce,2098,2025-06-19T16:30:32.450743
5783693000,Giant Organic Mini Cucumbers,4.99,12 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:32.451744
503018074221,Raspberries,7.99,12 OZ PKG,USDA Produce,,Produce,2098,2025-06-19T16:30:32.451744
7143000218,Dole Apple Harvest Premium Salad Kit,2.99,8 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:32.452746
7143000013,Dole Spring Mix Salad Blend,5.49,10 OZ PKG,Dole,,Produce,2098,2025-06-19T16:30:32.453746
7143000223,Dole Smash Burger Chopped Salad Kit,2.99,10.6 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:32.454747
68826759340,Giant Gala Apples,7.99,5 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:32.454747
68826717001,Giant Red Onions,4.49,2 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:32.455748
82746800034,Spice World Fresh Garlic Bulbs,1.99,5 CT PKG,Spice World,,Produce,2098,2025-06-19T16:30:32.456749
81829002065,Diced Yellow Onion,2.49,8 OZ TUB,USDA Produce,,Produce,2098,2025-06-19T16:30:32.457750
72543981089,Taste of Inspirations Chopped Sweet Kale Salad Kit,3.5,12 OZ BAG,Taste of Inspirations,,Produce,2098,2025-06-19T16:30:32.457750
76919710102,Sun Belle Fresh Blackberries,6.99,12 OZ PKG,Sun Belle,,Produce,2098,2025-06-19T16:30:32.458751
68826719410,Giant Broccoli Slaw,1.99,12 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:32.459752
4081,Eggplant,2.66,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:32.460753
68826756287,Giant Steam Easy Yellow Potatoes Microwavable Bag,2.99,1.5 LB BAG,Our Brand,,Produce,2098,2025-06-19T16:30:32.460753
6602200328,Envy Apples,4.89,2 LB PKG,USDA Produce,,Produce,2098,2025-06-19T16:30:32.461754
4329,Honeydew Melon,4.99,1 EA,USDA Produce,,Produce,2098,2025-06-19T16:30:32.462755
3022306099,Taylor Farms Chopped Mexican Style Street Corn Salad Kit,3.5,11.62 OZ BAG,Taylor Farms,,Produce,2098,2025-06-19T16:30:32.463755
62930712204,The Little Potato Co. Little Trios Variety Fresh Potatoes,3.99,1.5 LB BAG,The Little Potato Co.,,Produce,2098,2025-06-19T16:30:32.463755
85706200415,BrightFarms Chickpea Caesar Salad Crunch Kit,5.99,6.5 OZ PKG,BrightFarms,,Produce,2098,2025-06-19T16:30:32.464756
7143000187,Dole Chopped Crunchy Taco Salad Kit,2.99,9.6 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:35.203249
5783692091,Nature's Promise Organic Grape Tomatoes,3.99,10 OZ PKG,Nature's Promise,,Produce,2098,2025-06-19T16:30:35.204249
3022304109,Taylor Farms Chopped Mediterranean Crunch Salad Kit,3.5,11 OZ BAG,Taylor Farms,,Produce,2098,2025-06-19T16:30:35.205250
7523400422,Giant Ready to Microwave Spinach,2.99,9 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:35.206251
7143000031,Dole Chopped Chipotle & Cheddar Salad Kit,2.99,12 OZ BAG,Dole,,Produce,2098,2025-06-19T16:30:35.207252
85120300519,Butterhead Bibb Green Lettuce,2.99,1 HEAD,USDA Produce,,Produce,2098,2025-06-19T16:30:35.208253
68826715454,Nature's Promise Organic Spring Mix Lettuce Blend,3.79,5 OZ PKG,Nature's Promise,,Produce,2098,2025-06-19T16:30:35.208253
68826757381,Giant Petite Romaine Lettuce,3.49,2 CT PKG,Our Brand,,Produce,2098,2025-06-19T16:30:35.209254
7224054678,Wonderful Seedless Lemons,3.99,1 LB BAG,Wonderful,,Produce,2098,2025-06-19T16:30:35.210255
68826717976,Giant Brussels Sprouts,6.99,32 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:35.211256
68826758735,Giant Red Apple Slices - 6 ct,3.29,12 OZ PKG,Our Brand,,Produce,2098,2025-06-19T16:30:35.211256
68826719411,Giant Rainbow Slaw,1.99,12 OZ BAG,Our Brand,,Produce,2098,2025-06-19T16:30:35.212257
